class,class_name,confidence,x_min,y_min,x_max,y_max
4,tile,0.9993690848350525,379,312,431,364
4,tile,0.9992372989654541,207,200,259,252
4,tile,0.9987592697143555,321,255,372,307
1,board,0.9987198114395142,201,137,436,368
4,tile,0.9981009364128113,319,198,372,251
4,tile,0.9976428151130676,206,143,257,195
4,tile,0.9973963499069214,377,140,428,194
4,tile,0.9965094923973083,378,255,429,307
4,tile,0.994584858417511,263,142,314,195
4,tile,0.9939237236976624,319,141,371,194
4,tile,0.9938794374465942,378,198,429,250
2,button,0.2554686963558197,378,96,433,116
0,best_score_box,0.22605837881565094,400,55,434,82
0,best_score_box,0.22341440618038177,366,55,399,82
3,score_box,0.19826622307300568,366,55,397,82
