class,class_name,confidence,x_min,y_min,x_max,y_max
1,login_form,0.9902713298797607,248,50,482,335
0,login_button,0.9678437113761902,272,236,456,270
3,success_alert,0.9675959348678589,271,279,455,312
6,username_input,0.9621530175209045,271,141,457,175
4,title_text,0.9485270380973816,333,88,395,114
2,password_input,0.9154410362243652,270,197,457,230
4,title_text,0.6541131138801575,73,54,101,83
4,title_text,0.5578835606575012,73,103,102,131
4,title_text,0.5070524215698242,74,152,103,179
6,username_input,0.10944370925426483,44,202,133,250
