epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1966,0.95457,3.81522,1.10716,0.00636,0.2,0.08971,0.08041,0.5918,3.72398,0.87368,0.00012221,0.00012221,0.00012221
2,51.244,0.57037,2.20439,0.90875,0.01416,0.2,0.19306,0.17477,0.47294,3.48871,0.86477,0.000250471,0.000250471,0.000250471
3,76.1688,0.54592,1.31967,0.87267,0.97728,0.21335,0.37782,0.34252,0.51216,2.59653,0.88106,0.000373452,0.000373452,0.000373452
4,101.369,0.53383,1.02296,0.85969,0.96006,0.24639,0.37416,0.35742,0.42672,2.20741,0.86512,0.000491153,0.000491153,0.000491153
5,125.509,0.52678,1.01814,0.86241,0.94287,0.39512,0.37314,0.35229,0.52162,1.31924,0.89605,0.000603575,0.000603575,0.000603575
6,149.533,0.52172,1.0187,0.8644,0.94598,0.37835,0.37965,0.35174,0.42821,1.38673,0.86842,0.000710718,0.000710718,0.000710718
7,173.562,0.54997,1.02238,0.87139,0.946,0.4,0.41128,0.37452,0.49159,1.09455,0.89351,0.000812581,0.000812581,0.000812581
8,197.515,0.53221,0.8434,0.87199,0.94768,0.39897,0.42708,0.38082,0.4601,0.90864,0.88044,0.000909165,0.000909165,0.000909165
9,221.459,0.51619,0.75168,0.85655,0.76455,0.6,0.44717,0.39836,0.43711,0.82028,0.87081,0.000935018,0.000935018,0.000935018
10,245.188,0.49078,0.81735,0.85873,0.58698,0.8,0.44474,0.38768,0.42885,0.85262,0.87171,0.00091302,0.00091302,0.00091302
11,268.61,0.46873,0.75885,0.83936,0.58902,0.8,0.49339,0.42675,0.40978,0.77026,0.86629,0.000891022,0.000891022,0.000891022
12,292.177,0.46035,0.82863,0.85323,0.60209,0.8,0.56548,0.49606,0.39299,0.77544,0.85811,0.000869024,0.000869024,0.000869024
13,316.008,0.45119,0.76361,0.83869,0.80735,0.6,0.58091,0.49913,0.41541,0.78779,0.85563,0.000847026,0.000847026,0.000847026
14,339.782,0.45234,0.72524,0.84206,0.80252,0.6,0.57601,0.50025,0.37802,0.75466,0.84608,0.000825029,0.000825029,0.000825029
15,363.687,0.44512,0.73176,0.83292,0.60005,0.8,0.59282,0.53843,0.41052,0.87291,0.86146,0.000803031,0.000803031,0.000803031
16,387.937,0.44271,0.68471,0.82835,0.41116,1,0.55715,0.51751,0.36274,0.87455,0.84484,0.000781033,0.000781033,0.000781033
17,411.978,0.43787,0.74127,0.84917,0.41796,1,0.5578,0.50468,0.39079,0.74199,0.85335,0.000759035,0.000759035,0.000759035
18,435.814,0.43565,0.68935,0.82272,0.42911,0.93333,0.52711,0.48012,0.37635,0.77545,0.85028,0.000737037,0.000737037,0.000737037
19,459.466,0.4506,0.78765,0.84587,0.60489,0.8,0.47713,0.4466,0.3697,0.76226,0.84561,0.00071504,0.00071504,0.00071504
20,483.003,0.44185,0.68023,0.84061,0.59098,0.8,0.45681,0.43278,0.36233,0.72573,0.84411,0.000693042,0.000693042,0.000693042
21,506.771,0.41865,0.69119,0.8299,0.39157,0.89703,0.44323,0.41643,0.36616,0.71531,0.84399,0.000671044,0.000671044,0.000671044
22,530.724,0.39966,0.62667,0.82261,0.39585,1,0.44255,0.42393,0.34794,0.67678,0.83929,0.000649046,0.000649046,0.000649046
23,554.478,0.40272,0.64113,0.82167,0.40193,1,0.45247,0.43081,0.35282,0.68607,0.8425,0.000627048,0.000627048,0.000627048
24,578.63,0.40497,0.62767,0.83221,0.39828,1,0.45753,0.43328,0.34709,0.70447,0.83905,0.000605051,0.000605051,0.000605051
